Round,LastCommandType,LastCommand,ActiveWorm,Score,Health,Worm1 Health,Worm1 x,Worm1 y,Worm2 Health,Worm2 x,Worm2 y,Worm3 Health,Worm3 x,Worm3 y
1,null,"null",1,133,400,150,24,28,150,1,16,100,24,4
2,move,"move (24, 3)",3,138,400,150,24,28,150,1,16,100,24,3
3,move,"move (24, 27)",1,143,400,150,24,27,150,1,16,100,24,3
4,move,"move (1, 15)",2,148,400,150,24,27,150,1,15,100,24,3
5,dig,"dig (24, 2)",3,155,400,150,24,27,150,1,15,100,24,3
6,dig,"dig (24, 26)",1,162,400,150,24,27,150,1,15,100,24,3
7,dig,"dig (1, 14)",2,169,400,150,24,27,150,1,15,100,24,3
8,dig,"dig (25, 2)",3,176,400,150,24,27,150,1,15,100,24,3
9,dig,"dig (25, 26)",1,183,400,150,24,27,150,1,15,100,24,3
10,dig,"dig (2, 14)",2,190,400,150,24,27,150,1,15,100,24,3
11,dig,"dig (23, 2)",3,197,400,150,24,27,150,1,15,100,24,3
12,move,"move (24, 2)",3,202,400,150,24,27,150,1,15,100,24,2
13,dig,"dig (23, 26)",1,209,400,150,24,27,150,1,15,100,24,2
14,dig,"dig (0, 14)",2,216,400,150,24,27,150,1,15,100,24,2
15,move,"move (24, 1)",3,221,400,150,24,27,150,1,15,100,24,1
16,move,"move (24, 26)",1,226,400,150,24,26,150,1,15,100,24,1
17,move,"move (1, 14)",2,231,400,150,24,26,150,1,14,100,24,1
18,move,"move (25, 2)",3,236,400,150,24,26,150,1,14,100,25,2
19,dig,"dig (24, 25)",1,243,400,150,24,26,150,1,14,100,25,2
20,dig,"dig (1, 13)",2,250,400,150,24,26,150,1,14,100,25,2
21,dig,"dig (26, 3)",3,257,400,150,24,26,150,1,14,100,25,2
22,dig,"dig (23, 25)",1,264,400,150,24,26,150,1,14,100,25,2
23,dig,"dig (0, 13)",2,271,400,150,24,26,150,1,14,100,25,2
24,move,"move (26, 3)",3,276,400,150,24,26,150,1,14,100,26,3
25,move,"move (24, 25)",1,281,400,150,24,25,150,1,14,100,26,3
26,move,"move (1, 13)",2,286,400,150,24,25,150,1,13,100,26,3
27,dig,"dig (26, 4)",3,293,400,150,24,25,150,1,13,100,26,3
28,move,"move (24, 24)",1,298,400,150,24,24,150,1,13,100,26,3
29,dig,"dig (1, 12)",2,305,400,150,24,24,150,1,13,100,26,3
30,move,"move (27, 4)",3,310,400,150,24,24,150,1,13,100,27,4
31,dig,"dig (25, 23)",1,317,400,150,24,24,150,1,13,100,27,4
32,dig,"dig (2, 12)",2,324,400,150,24,24,150,1,13,100,27,4
33,dig,"dig (28, 4)",3,331,400,150,24,24,150,1,13,100,27,4
34,move,"move (24, 23)",1,336,400,150,24,23,150,1,13,100,27,4
35,dig,"dig (0, 12)",2,343,400,150,24,23,150,1,13,100,27,4
36,dig,"dig (28, 5)",3,350,400,150,24,23,150,1,13,100,27,4
37,dig,"dig (25, 22)",1,357,400,150,24,23,150,1,13,100,27,4
38,move,"move (1, 12)",2,362,400,150,24,23,150,1,12,100,27,4
39,dig,"dig (27, 5)",3,369,400,150,24,23,150,1,12,100,27,4
40,move,"move (24, 22)",1,374,400,150,24,22,150,1,12,100,27,4
41,dig,"dig (2, 11)",2,381,400,150,24,22,150,1,12,100,27,4
42,dig,"dig (26, 5)",3,388,400,150,24,22,150,1,12,100,27,4
43,move,"move (24, 21)",1,393,400,150,24,21,150,1,12,100,27,4
44,move,"move (1, 11)",2,398,400,150,24,21,150,1,11,100,27,4
