Round,LastCommandType,LastCommand,ActiveWorm,Score,Health,Worm1 Health,Worm1 x,Worm1 y,Worm2 Health,Worm2 x,Worm2 y,Worm3 Health,Worm3 x,Worm3 y
1,null,"null",1,133,400,150,31,16,150,8,28,100,8,4
2,move,"move 30 17",1,138,400,150,30,17,150,8,28,100,8,4
3,move,"move 9 27",2,143,400,150,30,17,150,9,27,100,8,4
4,move,"move 9 5",3,148,400,150,30,17,150,9,27,100,9,5
5,dig,"dig 29 17",1,155,400,150,30,17,150,9,27,100,9,5
6,dig,"dig 10 26",2,162,400,150,30,17,150,9,27,100,9,5
7,dig,"dig 10 6",3,169,400,150,30,17,150,9,27,100,9,5
8,move,"move 29 17",1,174,400,150,29,17,150,9,27,100,9,5
9,move,"move 10 26",2,179,400,150,29,17,150,10,26,100,9,5
10,move,"move 10 6",3,184,400,150,29,17,150,10,26,100,10,6
11,move,"move 28 17",1,189,400,150,28,17,150,10,26,100,10,6
12,move,"move 11 25",2,194,400,150,28,17,150,11,25,100,10,6
13,dig,"dig 11 7",3,201,400,150,28,17,150,11,25,100,10,6
14,move,"move 27 17",1,206,400,150,27,17,150,11,25,100,10,6
15,dig,"dig 12 24",2,213,400,150,27,17,150,11,25,100,10,6
16,move,"move 11 7",3,218,400,150,27,17,150,11,25,100,11,7
17,move,"move 26 17",1,223,400,150,26,17,150,11,25,100,11,7
18,move,"move 12 24",2,228,400,150,26,17,150,12,24,100,11,7
19,move,"move 12 8",3,233,400,150,26,17,150,12,24,100,12,8
20,dig,"dig 25 17",1,240,400,150,26,17,150,12,24,100,12,8
21,dig,"dig 13 23",2,247,400,150,26,17,150,12,24,100,12,8
22,dig,"dig 13 9",3,254,400,150,26,17,150,12,24,100,12,8
23,move,"move 25 17",1,259,400,150,25,17,150,12,24,100,12,8
24,move,"move 13 23",2,264,400,150,25,17,150,13,23,100,12,8
25,move,"move 13 9",3,269,400,150,25,17,150,13,23,100,13,9
26,move,"move 24 17",1,274,400,150,24,17,150,13,23,100,13,9
27,move,"move 14 22",2,279,400,150,24,17,150,14,22,100,13,9
28,dig,"dig 14 10",3,286,400,150,24,17,150,14,22,100,13,9
29,move,"move 23 17",1,291,400,150,23,17,150,14,22,100,13,9
30,move,"move 15 21",2,296,400,150,23,17,150,15,21,100,13,9
31,move,"move 14 10",3,301,400,150,23,17,150,15,21,100,14,10
32,move,"move 22 17",1,306,400,150,22,17,150,15,21,100,14,10
33,move,"move 16 20",2,311,400,150,22,17,150,16,20,100,14,10
34,dig,"dig 14 11",3,318,400,150,22,17,150,16,20,100,14,10
35,move,"move 21 17",1,323,400,150,21,17,150,16,20,100,14,10
36,move,"move 17 19",2,328,400,150,21,17,150,17,19,100,14,10
37,move,"move 14 11",3,333,400,150,21,17,150,17,19,100,14,11
38,dig,"dig 20 17",1,340,400,150,21,17,150,17,19,100,14,11
39,move,"move 18 18",2,345,400,150,21,17,150,18,18,100,14,11
40,dig,"dig 14 12",3,352,400,150,21,17,150,18,18,100,14,11
41,move,"move 20 17",1,357,400,150,20,17,150,18,18,100,14,11
42,move,"move 18 17",2,365,410,150,20,17,160,18,17,100,14,11
43,move,"move 14 12",3,370,410,150,20,17,160,18,17,100,14,12
44,dig,"dig 19 16",1,377,410,150,20,17,160,18,17,100,14,12
45,move,"move 17 16",2,382,410,150,20,17,160,17,16,100,14,12
46,move,"move 14 13",3,387,410,150,20,17,160,17,16,100,14,13
47,move,"move 19 16",1,392,410,150,19,16,160,17,16,100,14,13
48,move,"move 16 15",2,397,410,150,19,16,160,16,15,100,14,13
49,move,"move 14 14",3,402,410,150,19,16,160,16,15,100,14,14
50,move,"move 18 15",1,407,410,150,18,15,160,16,15,100,14,14
51,move,"move 15 15",2,412,410,150,18,15,160,15,15,100,14,14
52,move,"move 14 15",3,421,420,150,18,15,160,15,15,110,14,15
53,move,"move 19 16",1,426,420,150,19,16,160,15,15,110,14,15
54,move,"move 16 16",2,431,420,150,19,16,160,16,16,110,14,15
55,move,"move 15 16",3,436,420,150,19,16,160,16,16,110,15,16
56,move,"move 20 17",1,441,420,150,20,17,160,16,16,110,15,16
57,move,"move 17 17",2,446,420,150,20,17,160,17,17,110,15,16
58,dig,"dig 16 17",3,453,420,150,20,17,160,17,17,110,15,16
59,move,"move 21 18",1,458,420,150,21,18,160,17,17,110,15,16
60,move,"move 18 18",2,463,420,150,21,18,160,18,18,110,15,16
61,move,"move 16 17",3,468,420,150,21,18,160,18,18,110,16,17
62,move,"move 22 19",1,473,420,150,22,19,160,18,18,110,16,17
63,move,"move 19 19",2,478,420,150,22,19,160,19,19,110,16,17
64,move,"move 17 18",3,483,420,150,22,19,160,19,19,110,17,18
65,move,"move 23 20",1,488,420,150,23,20,160,19,19,110,17,18
66,dig,"dig 20 20",2,495,420,150,23,20,160,19,19,110,17,18
67,move,"move 18 19",3,500,420,150,23,20,160,19,19,110,18,19
68,move,"move 23 21",1,505,420,150,23,21,160,19,19,110,18,19
69,move,"move 20 20",2,510,420,150,23,21,160,20,20,110,18,19
70,dig,"dig 19 20",3,517,420,150,23,21,160,20,20,110,18,19
71,dig,"dig 23 22",1,524,420,150,23,21,160,20,20,110,18,19
72,dig,"dig 21 21",2,531,420,150,23,21,160,20,20,110,18,19
73,move,"move 19 20",3,536,420,150,23,21,160,20,20,110,19,20
74,dig,"dig 22 22",1,543,420,150,23,21,160,20,20,110,19,20
75,move,"move 21 21",2,548,420,150,23,21,160,21,21,110,19,20
76,dig,"dig 20 21",3,555,420,150,23,21,160,21,21,110,19,20
77,move,"move 22 22",1,560,420,150,22,22,160,21,21,110,19,20
78,invalid,"invalid",2,556,420,150,22,22,160,21,21,110,19,20
79,move,"move 20 21",3,561,420,150,22,22,160,21,21,110,20,21
80,dig,"dig 22 23",1,568,420,150,22,22,160,21,21,110,20,21
81,invalid,"invalid",2,564,420,150,22,22,160,21,21,110,20,21
82,move,"move 21 22",3,569,420,150,22,22,160,21,21,110,21,22
83,move,"move 23 23",1,574,420,150,23,23,160,21,21,110,21,22
84,move,"move 22 22",2,579,420,150,23,23,160,22,22,110,21,22
85,move,"move 22 23",3,584,420,150,23,23,160,22,22,110,22,23
