Round,LastCommandType,LastCommand,ActiveWorm,Score,Health,Worm1 Health,Worm1 x,Worm1 y,Worm2 Health,Worm2 x,Worm2 y,Worm3 Health,Worm3 x,Worm3 y
1,null,"null",1,116,350,150,24,4,100,24,28,100,1,16
2,move,"move 23 4",1,121,350,150,23,4,100,24,28,100,1,16
3,move,"move 24 27",2,126,350,150,23,4,100,24,27,100,1,16
4,move,"move 2 16",3,131,350,150,23,4,100,24,27,100,2,16
5,dig,"dig 22 4",1,138,350,150,23,4,100,24,27,100,2,16
6,dig,"dig 24 26",2,145,350,150,23,4,100,24,27,100,2,16
7,dig,"dig 3 16",3,152,350,150,23,4,100,24,27,100,2,16
8,move,"move 23 5",1,157,350,150,23,5,100,24,27,100,2,16
9,move,"move 24 26",2,162,350,150,23,5,100,24,26,100,2,16
10,move,"move 3 16",3,167,350,150,23,5,100,24,26,100,3,16
11,dig,"dig 22 5",1,174,350,150,23,5,100,24,26,100,3,16
12,dig,"dig 24 25",2,181,350,150,23,5,100,24,26,100,3,16
13,move,"move 4 16",3,186,350,150,23,5,100,24,26,100,4,16
14,dig,"dig 23 6",1,193,350,150,23,5,100,24,26,100,4,16
15,dig,"dig 23 26",2,200,350,150,23,5,100,24,26,100,4,16
16,dig,"dig 5 16",3,207,350,150,23,5,100,24,26,100,4,16
17,dig,"dig 22 6",1,214,350,150,23,5,100,24,26,100,4,16
18,move,"move 24 25",2,219,350,150,23,5,100,24,25,100,4,16
19,move,"move 5 16",3,224,350,150,23,5,100,24,25,100,5,16
20,move,"move 22 6",1,229,350,150,22,6,100,24,25,100,5,16
21,dig,"dig 24 24",2,236,350,150,22,6,100,24,25,100,5,16
22,dig,"dig 6 16",3,243,350,150,22,6,100,24,25,100,5,16
23,dig,"dig 21 6",1,250,350,150,22,6,100,24,25,100,5,16
24,move,"move 24 24",2,255,350,150,22,6,100,24,24,100,5,16
25,move,"move 6 16",3,260,350,150,22,6,100,24,24,100,6,16
26,move,"move 22 7",1,265,350,150,22,7,100,24,24,100,6,16
27,dig,"dig 24 23",2,272,350,150,22,7,100,24,24,100,6,16
28,move,"move 7 16",3,277,350,150,22,7,100,24,24,100,7,16
29,move,"move 21 8",1,282,350,150,21,8,100,24,24,100,7,16
30,dig,"dig 23 23",2,289,350,150,21,8,100,24,24,100,7,16
31,move,"move 8 16",3,294,350,150,21,8,100,24,24,100,8,16
32,move,"move 20 9",1,299,350,150,20,9,100,24,24,100,8,16
33,banana,"banana 24 19",2,327,350,150,20,9,100,24,24,100,8,16
34,move,"move 9 16",3,332,350,150,20,9,100,24,24,100,9,16
35,banana,"banana 24 19",2,346,350,150,20,9,100,24,24,100,9,16
36,move,"move 10 16",3,351,350,150,20,9,100,24,24,100,10,16
37,banana,"banana 24 19",2,351,350,150,20,9,100,24,24,100,10,16
38,move,"move 9 16",3,356,350,150,20,9,100,24,24,100,9,16
39,move,"move 21 9",1,361,350,150,21,9,100,24,24,100,9,16
40,dig,"dig 23 24",2,368,350,150,21,9,100,24,24,100,9,16
41,move,"move 10 16",3,373,350,150,21,9,100,24,24,100,10,16
42,move,"move 20 10",1,378,350,150,20,10,100,24,24,100,10,16
43,move,"move 23 23",2,383,350,150,20,10,100,23,23,100,10,16
44,move,"move 9 16",3,388,350,150,20,10,100,23,23,100,9,16
45,move,"move 8 16",3,393,350,150,20,10,100,23,23,100,8,16
46,move,"move 21 9",1,398,350,150,21,9,100,23,23,100,8,16
47,dig,"dig 21 10",1,405,350,150,21,9,100,23,23,100,8,16
48,move,"move 7 16",3,410,350,150,21,9,100,23,23,100,7,16
49,move,"move 20 10",1,415,350,150,20,10,100,23,23,100,7,16
50,move,"move 22 22",2,420,350,150,20,10,100,22,22,100,7,16
51,move,"move 8 16",3,425,350,150,20,10,100,22,22,100,8,16
52,move,"move 21 10",1,430,350,150,21,10,100,22,22,100,8,16
53,move,"move 23 21",2,435,350,150,21,10,100,23,21,100,8,16
54,move,"move 7 16",3,440,350,150,21,10,100,23,21,100,7,16
55,move,"move 20 9",1,445,350,150,20,9,100,23,21,100,7,16
56,dig,"dig 22 20",2,452,350,150,20,9,100,23,21,100,7,16
57,move,"move 8 16",3,457,350,150,20,9,100,23,21,100,8,16
58,move,"move 21 8",1,462,350,150,21,8,100,23,21,100,8,16
59,move,"move 22 20",2,467,350,150,21,8,100,22,20,100,8,16
60,move,"move 7 16",3,472,350,150,21,8,100,22,20,100,7,16
61,move,"move 20 9",1,477,350,150,20,9,100,22,20,100,7,16
62,dig,"dig 21 19",2,484,350,150,20,9,100,22,20,100,7,16
63,move,"move 8 16",3,489,350,150,20,9,100,22,20,100,8,16
64,dig,"dig 19 9",1,496,350,150,20,9,100,22,20,100,8,16
65,move,"move 21 19",2,501,350,150,20,9,100,21,19,100,8,16
66,move,"move 9 16",3,506,350,150,20,9,100,21,19,100,9,16
67,nothing,"nothing "Player chose to do nothing"",1,506,350,150,20,9,100,21,19,100,9,16
68,dig,"dig 22 18",2,513,350,150,20,9,100,21,19,100,9,16
69,move,"move 8 17",3,518,350,150,20,9,100,21,19,100,8,17
70,move,"move 21 8",1,523,350,150,21,8,100,21,19,100,8,17
71,dig,"dig 20 19",2,530,350,150,21,8,100,21,19,100,8,17
72,dig,"dig 9 17",3,537,350,150,21,8,100,21,19,100,8,17
73,nothing,"nothing "Player chose to do nothing"",1,537,350,150,21,8,100,21,19,100,8,17
74,dig,"dig 21 20",2,542,342,142,21,8,100,21,19,100,8,17
75,move,"move 9 16",3,544,334,134,21,8,100,21,19,100,9,16
76,shoot,"shoot S",1,557,326,126,21,8,100,21,19,100,9,16
77,move,"move 21 20",2,560,318,118,21,8,100,21,20,100,9,16
78,move,"move 10 16",3,562,310,110,21,8,100,21,20,100,10,16
79,shoot,"shoot S",1,578,310,110,21,8,100,21,20,100,10,16
80,dig,"dig 20 20",2,585,310,110,21,8,100,21,20,100,10,16
81,move,"move 11 16",3,590,310,110,21,8,100,21,20,100,11,16
82,nothing,"nothing "Player chose to do nothing"",1,590,310,110,21,8,100,21,20,100,11,16
83,move,"move 20 19",2,595,310,110,21,8,100,20,19,100,11,16
84,dig,"dig 12 17",3,599,302,102,21,8,100,20,19,100,11,16
85,nothing,"nothing "Player chose to do nothing"",1,599,302,102,21,8,100,20,19,100,11,16
86,dig,"dig 20 18",2,606,302,102,21,8,100,20,19,100,11,16
87,move,"move 12 17",3,609,294,94,21,8,100,20,19,100,12,17
88,shoot,"shoot SW",1,625,294,94,21,8,100,20,19,100,12,17
89,dig,"dig 19 19",2,625,274,74,21,8,100,20,19,100,12,17
90,dig,"dig 13 18",3,632,274,74,21,8,100,20,19,100,12,17
91,move,"move 20 9",1,637,274,74,20,9,100,20,19,100,12,17
92,dig,"dig 19 18",2,637,254,54,20,9,100,20,19,100,12,17
93,move,"move 13 18",3,640,246,46,20,9,100,20,19,100,13,18
