Round,LastCommandType,LastCommand,ActiveWorm,Score,Health,Worm1 Health,Worm1 x,Worm1 y,Worm2 Health,Worm2 x,Worm2 y,Worm3 Health,Worm3 x,Worm3 y
1,null,"null",1,116,350,150,8,28,100,8,4,100,31,16
2,move,"move 9 27",1,121,350,150,9,27,100,8,4,100,31,16
3,move,"move 9 5",2,126,350,150,9,27,100,9,5,100,31,16
4,move,"move 30 16",3,131,350,150,9,27,100,9,5,100,30,16
5,dig,"dig 10 26",1,138,350,150,9,27,100,9,5,100,30,16
6,dig,"dig 10 6",2,145,350,150,9,27,100,9,5,100,30,16
7,dig,"dig 29 16",3,152,350,150,9,27,100,9,5,100,30,16
8,move,"move 10 26",1,157,350,150,10,26,100,9,5,100,30,16
9,move,"move 10 6",2,162,350,150,10,26,100,10,6,100,30,16
10,move,"move 29 16",3,167,350,150,10,26,100,10,6,100,29,16
11,move,"move 11 25",1,172,350,150,11,25,100,10,6,100,29,16
12,move,"move 11 7",2,177,350,150,11,25,100,11,7,100,29,16
13,dig,"dig 28 16",3,184,350,150,11,25,100,11,7,100,29,16
14,move,"move 12 24",1,189,350,150,12,24,100,11,7,100,29,16
15,move,"move 12 8",2,194,350,150,12,24,100,12,8,100,29,16
16,move,"move 28 16",3,199,350,150,12,24,100,12,8,100,28,16
17,move,"move 13 23",1,204,350,150,13,23,100,12,8,100,28,16
18,dig,"dig 13 9",2,211,350,150,13,23,100,12,8,100,28,16
19,dig,"dig 27 16",3,218,350,150,13,23,100,12,8,100,28,16
20,move,"move 14 22",1,223,350,150,14,22,100,12,8,100,28,16
21,move,"move 13 9",2,228,350,150,14,22,100,13,9,100,28,16
22,move,"move 27 16",3,233,350,150,14,22,100,13,9,100,27,16
23,move,"move 14 21",1,238,350,150,14,21,100,13,9,100,27,16
24,dig,"dig 14 10",2,245,350,150,14,21,100,13,9,100,27,16
25,move,"move 26 16",3,250,350,150,14,21,100,13,9,100,26,16
26,move,"move 14 20",1,255,350,150,14,20,100,13,9,100,26,16
27,move,"move 14 10",2,260,350,150,14,20,100,14,10,100,26,16
28,move,"move 25 16",3,265,350,150,14,20,100,14,10,100,25,16
29,move,"move 14 19",1,270,350,150,14,19,100,14,10,100,25,16
30,dig,"dig 14 11",2,277,350,150,14,19,100,14,10,100,25,16
31,move,"move 24 16",3,282,350,150,14,19,100,14,10,100,24,16
32,move,"move 14 18",1,287,350,150,14,18,100,14,10,100,24,16
33,move,"move 14 11",2,292,350,150,14,18,100,14,11,100,24,16
34,move,"move 23 16",3,297,350,150,14,18,100,14,11,100,23,16
35,dig,"dig 14 17",1,304,350,150,14,18,100,14,11,100,23,16
36,dig,"dig 14 12",2,311,350,150,14,18,100,14,11,100,23,16
37,move,"move 22 16",3,316,350,150,14,18,100,14,11,100,22,16
38,move,"move 14 17",1,321,350,150,14,17,100,14,11,100,22,16
39,move,"move 14 12",2,326,350,150,14,17,100,14,12,100,22,16
40,move,"move 21 16",3,331,350,150,14,17,100,14,12,100,21,16
41,move,"move 14 16",1,340,360,160,14,16,100,14,12,100,21,16
42,move,"move 15 13",2,345,360,160,14,16,100,15,13,100,21,16
43,move,"move 20 16",3,350,360,160,14,16,100,15,13,100,20,16
44,dig,"dig 15 16",1,357,360,160,14,16,100,15,13,100,20,16
45,move,"move 16 14",2,362,360,160,14,16,100,16,14,100,20,16
46,dig,"dig 19 16",3,369,360,160,14,16,100,16,14,100,20,16
47,move,"move 15 16",1,374,360,160,15,16,100,16,14,100,20,16
48,dig,"dig 17 15",2,381,360,160,15,16,100,16,14,100,20,16
49,move,"move 19 16",3,386,360,160,15,16,100,16,14,100,19,16
50,dig,"dig 16 16",1,393,360,160,15,16,100,16,14,100,19,16
51,move,"move 17 15",2,398,360,160,15,16,100,17,15,100,19,16
52,move,"move 18 16",3,406,370,160,15,16,100,17,15,110,18,16
53,dig,"dig 16 15",1,413,370,160,15,16,100,17,15,110,18,16
54,dig,"dig 18 14",2,420,370,160,15,16,100,17,15,110,18,16
