Round,LastCommandType,LastCommand,ActiveWorm,Score,Health,Worm1 Health,Worm1 x,Worm1 y,Worm2 Health,Worm2 x,Worm2 y,Worm3 Health,Worm3 x,Worm3 y
1,null,"null",1,116,350,150,24,28,100,1,16,100,24,4
2,move,"move 25 28",1,121,350,150,25,28,100,1,16,100,24,4
3,move,"move 1 17",2,126,350,150,25,28,100,1,17,100,24,4
4,move,"move 25 5",3,131,350,150,25,28,100,1,17,100,25,5
5,nothing,"nothing "Player chose to do nothing"",1,131,350,150,25,28,100,1,17,100,25,5
6,dig,"dig 0 18",2,138,350,150,25,28,100,1,17,100,25,5
7,dig,"dig 26 6",3,145,350,150,25,28,100,1,17,100,25,5
8,move,"move 25 27",1,150,350,150,25,27,100,1,17,100,25,5
9,nothing,"nothing "Player chose to do nothing"",2,150,350,150,25,27,100,1,17,100,25,5
10,dig,"dig 26 5",3,157,350,150,25,27,100,1,17,100,25,5
11,dig,"dig 26 26",1,164,350,150,25,27,100,1,17,100,25,5
12,move,"move 2 16",2,169,350,150,25,27,100,2,16,100,25,5
13,move,"move 24 4",3,174,350,150,25,27,100,2,16,100,24,4
14,move,"move 26 26",1,179,350,150,26,26,100,2,16,100,24,4
15,nothing,"nothing "Player chose to do nothing"",2,179,350,150,26,26,100,2,16,100,24,4
16,move,"move 23 5",3,184,350,150,26,26,100,2,16,100,23,5
17,dig,"dig 26 27",1,191,350,150,26,26,100,2,16,100,23,5
18,move,"move 2 15",2,196,350,150,26,26,100,2,15,100,23,5
19,dig,"dig 23 6",3,203,350,150,26,26,100,2,15,100,23,5
20,move,"move 25 25",1,208,350,150,25,25,100,2,15,100,23,5
21,dig,"dig 2 14",2,215,350,150,25,25,100,2,15,100,23,5
22,move,"move 24 5",3,220,350,150,25,25,100,2,15,100,24,5
23,move,"move 25 24",1,225,350,150,25,24,100,2,15,100,24,5
24,dig,"dig 3 15",2,232,350,150,25,24,100,2,15,100,24,5
25,move,"move 25 5",3,237,350,150,25,24,100,2,15,100,25,5
26,move,"move 26 24",1,242,350,150,26,24,100,2,15,100,25,5
27,nothing,"nothing "Player chose to do nothing"",2,242,350,150,26,24,100,2,15,100,25,5
28,dig,"dig 25 6",3,249,350,150,26,24,100,2,15,100,25,5
29,move,"move 26 25",1,254,350,150,26,25,100,2,15,100,25,5
30,dig,"dig 3 14",2,261,350,150,26,25,100,2,15,100,25,5
31,move,"move 25 4",3,266,350,150,26,25,100,2,15,100,25,4
32,move,"move 27 25",1,271,350,150,27,25,100,2,15,100,25,4
33,move,"move 3 15",2,276,350,150,27,25,100,3,15,100,25,4
34,move,"move 24 3",3,281,350,150,27,25,100,3,15,100,24,3
35,move,"move 28 25",1,286,350,150,28,25,100,3,15,100,24,3
36,move,"move 4 15",2,291,350,150,28,25,100,4,15,100,24,3
37,nothing,"nothing "Player chose to do nothing"",3,291,350,150,28,25,100,4,15,100,24,3
38,nothing,"nothing "Player chose to do nothing"",1,291,350,150,28,25,100,4,15,100,24,3
39,move,"move 4 14",2,296,350,150,28,25,100,4,14,100,24,3
40,move,"move 25 4",3,301,350,150,28,25,100,4,14,100,25,4
41,dig,"dig 27 26",1,308,350,150,28,25,100,4,14,100,25,4
42,move,"move 5 14",2,313,350,150,28,25,100,5,14,100,25,4
43,move,"move 24 4",3,318,350,150,28,25,100,5,14,100,24,4
44,dig,"dig 29 24",1,325,350,150,28,25,100,5,14,100,24,4
