Round,LastCommandType,LastCommand,ActiveWorm,Score,Health,Worm1 Health,Worm1 x,Worm1 y,Worm2 Health,Worm2 x,Worm2 y,Worm3 Health,Worm3 x,Worm3 y
1,null,"null",1,116,350,150,31,16,100,8,28,100,8,4
2,move,"move 31 17",1,121,350,150,31,17,100,8,28,100,8,4
3,move,"move 8 29",2,126,350,150,31,17,100,8,29,100,8,4
4,move,"move 9 4",3,131,350,150,31,17,100,8,29,100,9,4
5,dig,"dig 32 18",1,138,350,150,31,17,100,8,29,100,9,4
6,dig,"dig 8 30",2,145,350,150,31,17,100,8,29,100,9,4
7,move,"move 8 3",3,150,350,150,31,17,100,8,29,100,8,3
8,move,"move 30 17",1,155,350,150,30,17,100,8,29,100,8,3
9,move,"move 9 28",2,160,350,150,30,17,100,9,28,100,8,3
10,dig,"dig 8 2",3,167,350,150,30,17,100,9,28,100,8,3
11,dig,"dig 31 18",1,174,350,150,30,17,100,9,28,100,8,3
12,move,"move 8 29",2,179,350,150,30,17,100,8,29,100,8,3
13,move,"move 7 3",3,184,350,150,30,17,100,8,29,100,7,3
14,dig,"dig 29 16",1,191,350,150,30,17,100,8,29,100,7,3
15,move,"move 9 28",2,196,350,150,30,17,100,9,28,100,7,3
16,move,"move 8 4",3,201,350,150,30,17,100,9,28,100,8,4
17,dig,"dig 29 18",1,208,350,150,30,17,100,9,28,100,8,4
18,dig,"dig 10 27",2,215,350,150,30,17,100,9,28,100,8,4
19,move,"move 9 3",3,220,350,150,30,17,100,9,28,100,9,3
20,move,"move 30 16",1,225,350,150,30,16,100,9,28,100,9,3
21,move,"move 9 27",2,230,350,150,30,16,100,9,27,100,9,3
22,dig,"dig 10 4",3,237,350,150,30,16,100,9,27,100,9,3
23,dig,"dig 29 15",1,244,350,150,30,16,100,9,27,100,9,3
24,dig,"dig 10 26",2,251,350,150,30,16,100,9,27,100,9,3
25,move,"move 8 3",3,256,350,150,30,16,100,9,27,100,8,3
26,move,"move 30 17",1,261,350,150,30,17,100,9,27,100,8,3
27,dig,"dig 10 28",2,268,350,150,30,17,100,9,27,100,8,3
28,move,"move 7 3",3,273,350,150,30,17,100,9,27,100,7,3
29,move,"move 30 16",1,278,350,150,30,16,100,9,27,100,7,3
30,move,"move 10 26",2,283,350,150,30,16,100,10,26,100,7,3
31,dig,"dig 6 3",3,290,350,150,30,16,100,10,26,100,7,3
32,move,"move 31 17",1,295,350,150,31,17,100,10,26,100,7,3
33,dig,"dig 10 25",2,302,350,150,31,17,100,10,26,100,7,3
34,move,"move 8 2",3,307,350,150,31,17,100,10,26,100,8,2
35,move,"move 31 18",1,312,350,150,31,18,100,10,26,100,8,2
36,move,"move 11 27",2,317,350,150,31,18,100,11,27,100,8,2
37,nothing,"nothing "Player chose to do nothing"",3,317,350,150,31,18,100,11,27,100,8,2
38,move,"move 30 19",1,322,350,150,30,19,100,11,27,100,8,2
39,dig,"dig 12 26",2,329,350,150,30,19,100,11,27,100,8,2
40,nothing,"nothing "Player chose to do nothing"",3,329,350,150,30,19,100,11,27,100,8,2
41,move,"move 31 20",1,334,350,150,31,20,100,11,27,100,8,2
42,nothing,"nothing "Player chose to do nothing"",2,334,350,150,31,20,100,11,27,100,8,2
43,move,"move 9 3",3,339,350,150,31,20,100,11,27,100,9,3
44,move,"move 31 21",1,344,350,150,31,21,100,11,27,100,9,3
45,move,"move 12 28",2,349,350,150,31,21,100,12,28,100,9,3
46,move,"move 10 4",3,354,350,150,31,21,100,12,28,100,10,4
47,move,"move 30 20",1,359,350,150,30,20,100,12,28,100,10,4
48,move,"move 12 29",2,364,350,150,30,20,100,12,29,100,10,4
49,nothing,"nothing "Player chose to do nothing"",3,364,350,150,30,20,100,12,29,100,10,4
50,move,"move 31 21",1,369,350,150,31,21,100,12,29,100,10,4
51,move,"move 11 29",2,374,350,150,31,21,100,11,29,100,10,4
52,nothing,"nothing "Player chose to do nothing"",3,374,350,150,31,21,100,11,29,100,10,4
53,move,"move 30 20",1,379,350,150,30,20,100,11,29,100,10,4
54,dig,"dig 10 30",2,386,350,150,30,20,100,11,29,100,10,4
55,nothing,"nothing "Player chose to do nothing"",3,386,350,150,30,20,100,11,29,100,10,4
56,move,"move 31 19",1,391,350,150,31,19,100,11,29,100,10,4
